2023-01-12 16:40:34,530 -+- PEER13_LOGGER -+- INFO -+- Start logging
2023-01-12 16:40:34,531 -+- PEER13_LOGGER -+- INFO -+- Network simulator activated, running at ('127.0.0.1', 40202).
2023-01-12 16:40:34,972 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len104
2023-01-12 16:40:34,972 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack0, pkt_len104
2023-01-12 16:40:34,973 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len104
2023-01-12 16:40:34,973 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48004) via spiffy, seq0, ack0, pkt_len104
2023-01-12 16:40:34,974 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len104
2023-01-12 16:40:34,974 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack0, pkt_len104
2023-01-12 16:40:34,974 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack0, pkt_len104
2023-01-12 16:40:35,008 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type1 pkt from ('127.0.0.1', 48007) via spiffy, seq0, ack0, pkt_len60
2023-01-12 16:40:35,092 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len60
2023-01-12 16:40:35,092 -+- PEER13_LOGGER -+- DEBUG -+- sending a type1 pkt to ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len18
2023-01-12 16:40:35,102 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len60
2023-01-12 16:40:35,102 -+- PEER13_LOGGER -+- DEBUG -+- sending a type1 pkt to ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len18
2023-01-12 16:40:35,118 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len104
2023-01-12 16:40:35,118 -+- PEER13_LOGGER -+- DEBUG -+- sending a type1 pkt to ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len18
2023-01-12 16:40:35,181 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type1 pkt from ('127.0.0.1', 48004) via spiffy, seq0, ack0, pkt_len60
2023-01-12 16:40:35,188 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type1 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len18
2023-01-12 16:40:35,190 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type1 pkt from ('127.0.0.1', 48006) via spiffy, seq0, ack0, pkt_len18
2023-01-12 16:40:35,192 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type1 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len18
2023-01-12 16:40:35,197 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type1 pkt from ('127.0.0.1', 48002) via spiffy, seq0, ack0, pkt_len18
2023-01-12 16:40:35,217 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type1 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len18
2023-01-12 16:40:35,217 -+- PEER13_LOGGER -+- DEBUG -+- sending a type2 pkt to ('127.0.0.1', 48004) via spiffy, seq0, ack0, pkt_len58
2023-01-12 16:40:35,218 -+- PEER13_LOGGER -+- DEBUG -+- sending a type2 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack0, pkt_len58
2023-01-12 16:40:35,250 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq1, ack0, pkt_len1040
2023-01-12 16:40:35,250 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack1, pkt_len16
2023-01-12 16:40:35,259 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq2, ack0, pkt_len1040
2023-01-12 16:40:35,259 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack2, pkt_len16
2023-01-12 16:40:35,284 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq3, ack0, pkt_len1040
2023-01-12 16:40:35,284 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack3, pkt_len16
2023-01-12 16:40:35,292 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq4, ack0, pkt_len1040
2023-01-12 16:40:35,293 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack4, pkt_len16
2023-01-12 16:40:35,302 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq5, ack0, pkt_len1040
2023-01-12 16:40:35,302 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack5, pkt_len16
2023-01-12 16:40:35,315 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq6, ack0, pkt_len1040
2023-01-12 16:40:35,316 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack6, pkt_len16
2023-01-12 16:40:35,325 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq7, ack0, pkt_len1040
2023-01-12 16:40:35,325 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack7, pkt_len16
2023-01-12 16:40:35,335 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq8, ack0, pkt_len1040
2023-01-12 16:40:35,336 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack8, pkt_len16
2023-01-12 16:40:35,343 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq9, ack0, pkt_len1040
2023-01-12 16:40:35,344 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack9, pkt_len16
2023-01-12 16:40:35,357 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq10, ack0, pkt_len1040
2023-01-12 16:40:35,357 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack10, pkt_len16
2023-01-12 16:40:35,366 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq11, ack0, pkt_len1040
2023-01-12 16:40:35,366 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack11, pkt_len16
2023-01-12 16:40:35,375 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq12, ack0, pkt_len1040
2023-01-12 16:40:35,376 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack12, pkt_len16
2023-01-12 16:40:35,385 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq13, ack0, pkt_len1040
2023-01-12 16:40:35,385 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack13, pkt_len16
2023-01-12 16:40:35,393 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq14, ack0, pkt_len1040
2023-01-12 16:40:35,393 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack14, pkt_len16
2023-01-12 16:40:35,404 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq15, ack0, pkt_len1040
